analysis_group,label,freq_MHz,solver_note
A_main_library,t_surf_rest,13.56,deduped from reviewer-analysis frequency requests
A_main_library,t_surf_rest,40.0,deduped from reviewer-analysis frequency requests
A_main_library,t_surf_sweat,13.56,deduped from reviewer-analysis frequency requests
A_main_library,t_surf_sweat,40.0,deduped from reviewer-analysis frequency requests
A_main_library,t_surf_loose,13.56,deduped from reviewer-analysis frequency requests
A_main_library,t_surf_loose,40.0,deduped from reviewer-analysis frequency requests
A_main_library,t_surf_fail,13.56,deduped from reviewer-analysis frequency requests
A_main_library,t_surf_fail,40.0,deduped from reviewer-analysis frequency requests
A_main_library,t_imp10_rest,13.56,deduped from reviewer-analysis frequency requests
A_main_library,t_imp10_rest,40.0,deduped from reviewer-analysis frequency requests
A_main_library,t_imp10_stress,13.56,deduped from reviewer-analysis frequency requests
A_main_library,t_imp10_stress,40.0,deduped from reviewer-analysis frequency requests
A_main_library,t_imp30_rest,13.56,deduped from reviewer-analysis frequency requests
A_main_library,t_imp30_rest,40.0,deduped from reviewer-analysis frequency requests
A_main_library,t_imp30_stress,13.56,deduped from reviewer-analysis frequency requests
A_main_library,t_imp30_stress,40.0,deduped from reviewer-analysis frequency requests
B_frequency_sweep,t_surf_rest,1.0,deduped from reviewer-analysis frequency requests
B_frequency_sweep,t_surf_rest,10.0,deduped from reviewer-analysis frequency requests
B_frequency_sweep,t_surf_rest,21.0,deduped from reviewer-analysis frequency requests
B_frequency_sweep,t_imp10_rest,1.0,deduped from reviewer-analysis frequency requests
B_frequency_sweep,t_imp10_rest,10.0,deduped from reviewer-analysis frequency requests
B_frequency_sweep,t_imp10_rest,21.0,deduped from reviewer-analysis frequency requests
B_frequency_sweep,t_imp30_stress,1.0,deduped from reviewer-analysis frequency requests
B_frequency_sweep,t_imp30_stress,10.0,deduped from reviewer-analysis frequency requests
B_frequency_sweep,t_imp30_stress,21.0,deduped from reviewer-analysis frequency requests
C_distance_scan,t_scan_x030,13.56,deduped from reviewer-analysis frequency requests
C_distance_scan,t_scan_x030,40.0,deduped from reviewer-analysis frequency requests
C_distance_scan,t_scan_x050,13.56,deduped from reviewer-analysis frequency requests
C_distance_scan,t_scan_x050,40.0,deduped from reviewer-analysis frequency requests
C_distance_scan,t_scan_x070,13.56,deduped from reviewer-analysis frequency requests
C_distance_scan,t_scan_x070,40.0,deduped from reviewer-analysis frequency requests
C_distance_scan,t_scan_x110,13.56,deduped from reviewer-analysis frequency requests
C_distance_scan,t_scan_x110,40.0,deduped from reviewer-analysis frequency requests
C_distance_scan,t_scan_x150,13.56,deduped from reviewer-analysis frequency requests
C_distance_scan,t_scan_x150,40.0,deduped from reviewer-analysis frequency requests
C_distance_scan,t_scan_x200,13.56,deduped from reviewer-analysis frequency requests
C_distance_scan,t_scan_x200,40.0,deduped from reviewer-analysis frequency requests
D_depth_scan,t_depth_d010,13.56,deduped from reviewer-analysis frequency requests
D_depth_scan,t_depth_d010,40.0,deduped from reviewer-analysis frequency requests
D_depth_scan,t_depth_d020,13.56,deduped from reviewer-analysis frequency requests
D_depth_scan,t_depth_d020,40.0,deduped from reviewer-analysis frequency requests
D_depth_scan,t_depth_d030,13.56,deduped from reviewer-analysis frequency requests
D_depth_scan,t_depth_d030,40.0,deduped from reviewer-analysis frequency requests
D_depth_scan,t_depth_d040,13.56,deduped from reviewer-analysis frequency requests
D_depth_scan,t_depth_d040,40.0,deduped from reviewer-analysis frequency requests
D_depth_scan,t_depth_d050,13.56,deduped from reviewer-analysis frequency requests
D_depth_scan,t_depth_d050,40.0,deduped from reviewer-analysis frequency requests
D_depth_scan,t_depth_d070,13.56,deduped from reviewer-analysis frequency requests
D_depth_scan,t_depth_d070,40.0,deduped from reviewer-analysis frequency requests
D_depth_scan,t_depth_d100,13.56,deduped from reviewer-analysis frequency requests
D_depth_scan,t_depth_d100,40.0,deduped from reviewer-analysis frequency requests
