case,type,condition,depth_mm,freq_MHz,S21_dB,path_loss_dB,S21_mag2,S21_mag2_norm_to_13p56
t_imp10_rest,implant,implant10_rest,10.0,1.0,-70.21893521097668,70.21893521097668,9.508378884077171e-08,0.9724982115881063
t_imp10_rest,implant,implant10_rest,10.0,10.0,-70.1527004061054,70.1527004061054,9.654503834906669e-08,0.9874435829371655
t_imp10_rest,implant,implant10_rest,10.0,13.56,-70.09782332434096,70.09782332434096,9.777271331481242e-08,1.0
t_imp10_rest,implant,implant10_rest,10.0,21.0,-69.93591325092792,69.93591325092792,1.0148659342704124e-07,1.0379848322330048
t_imp10_rest,implant,implant10_rest,10.0,40.0,-69.28728635379525,69.28728635379525,1.178342018921643e-07,1.2051849426818821
t_imp30_stress,implant,implant30_stress,30.0,1.0,-79.30850325979543,79.30850325979543,1.1725994172612414e-08,0.9300983062125724
t_imp30_stress,implant,implant30_stress,30.0,10.0,-79.13652931801789,79.13652931801789,1.2199641487671422e-08,0.9676677062134228
t_imp30_stress,implant,implant30_stress,30.0,13.56,-78.99379179468238,78.99379179468238,1.2607263226143815e-08,1.0
t_imp30_stress,implant,implant30_stress,30.0,21.0,-78.57734123728413,78.57734123728413,1.3876050645150624e-08,1.1006394009744884
t_imp30_stress,implant,implant30_stress,30.0,40.0,-76.98090907235509,76.98090907235509,2.00405249189284e-08,1.5896015304392275
t_surf_rest,surface,surface_rest,0.0,1.0,-69.69031766270942,69.69031766270942,1.0739108587505584e-07,1.032249860878482
t_surf_rest,surface,surface_rest,0.0,10.0,-69.76741963658489,69.76741963658489,1.05501354717766e-07,1.0140856463320376
t_surf_rest,surface,surface_rest,0.0,13.56,-69.82816599285628,69.82816599285628,1.0403594124358819e-07,1.0
t_surf_rest,surface,surface_rest,0.0,21.0,-69.99146350096764,69.99146350096764,1.0019675346028735e-07,0.9630974859514
t_surf_rest,surface,surface_rest,0.0,40.0,-70.40762017766808,70.40762017766808,9.104120183970576e-08,0.8750937488664927
